term_en,fr_rendering,source,aliases,decision_needed
common-cause,causes communes,"W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""variations aléatoires dues à des causes communes""","common cause|common-cause variation|common causes|common-cause",FALSE
special-cause,causes spéciales,"W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""il provient réellement d'une cause spéciale""","special cause|special-cause variation|special causes|assignable cause|special-cause",FALSE
in-statistical-control,sous contrôle statistique,"Établi dans la littérature francophone (Western Electric, ""Manuel du contrôle statistique de la qualité"", https://www.fr-deming.org/WECSQ.pdf; Shewhart trad. fr. ""Les fondements de la maîtrise de la qualité"", Economica, 1989). Variante: ""maîtrise statistique""","in statistical control|statistical control|stable|predictable|out of statistical control",FALSE
operational-definition,définition opérationnelle,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""Les définitions opérationnelles donnent une signification communicable à un concept (voir le livre Hors de la Crise, chapitre 10)""; Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica","operational definition|operational definitions",FALSE
pdsa-cycle,PDSA,"Contesté. Deming désavoue ""PDCA""/""roue de Deming"" et préfère ""cycle de Shewhart"" / PDSA (J.-M. Gogue, ""PDCA : méfiez-vous des imitations"", https://www.fr-deming.org/afed-F54.pdf; Roue de Deming — Wikipédia FR, https://fr.wikipedia.org/wiki/Roue_de_Deming). Aucune traduction FR normalisée du sigle PDSA (Plan-Do-Study-Act); ""Planifier-Développer-Étudier-Agir"" non confirmée.","PDSA|PDSA cycle|Plan-Do-Study-Act|Shewhart cycle|cycle de Shewhart|roue de Deming|PDCA",TRUE
system-of-profound-knowledge,Système de la Connaissance Approfondie,"W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""ce que je nomme la connaissance approfondie""","System of Profound Knowledge|SoPK|profound knowledge|connaissance approfondie",FALSE
transformation,transformation,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""cette transformation nous ramène à la motivation intrinsèque""; J.-M. Gogue, ""Le management selon Deming"", https://www.fr-deming.org/afed-F60.pdf — ""la transformation du Japon""","transformation|transform",FALSE
red-beads,expérience des billes rouges,"J.-M. Gogue, ""L'expérience des billes rouges"", Association Française Edwards Deming, https://www.fr-deming.org/Billesrouges.pdf — ""L'expérience des billes rouges est un atelier conçu par William Edwards Deming""","Red Beads|Red Bead Experiment|red bead experiment|expérience des perles rouges|jeu des billes rouges",FALSE
funnel,expérience de l'entonnoir,"Établi: Minitab FR, ""Démonstration de l'expérience de l'entonnoir de Deming"", https://support.minitab.com/fr-fr/minitab/macro-library/macro-files/educational-macros/funnel/ — ""L'entonnoir représente le système des causes communes""; J.-M. Gogue (AFED) emploie aussi ""l'expérience de l'entonnoir""","Funnel|Funnel Experiment|funnel experiment|tampering",FALSE
six-processes,,"Aucune traduction française établie trouvée dans la littérature Deming francophone pour ""Six Processes"" en tant que cadre nommé. (Gogue emploie ""étude des processus"" pour un concept distinct, https://www.fr-deming.org/afed-F60.pdf.) Rendu à décider.","Six Processes|the six processes",TRUE
fourteen-points,les 14 points de Deming,"Association Française Edwards Deming, ""Les 14 Points de Deming"", https://www.fr-deming.org/les14.html (titre exact de la page); issus de Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica","14 Points|14 Points for Management|Fourteen Points|les quatorze points|14 points pour le management",FALSE
seven-deadly-diseases,les sept maladies mortelles,"J.-M. Gogue, ""Le management selon Deming"", https://www.fr-deming.org/afed-F60.pdf — ""maladies mortelles qui affectent, selon Deming, la plupart des entreprises""; Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica","Seven Deadly Diseases|7 deadly diseases|deadly diseases|les maladies mortelles",FALSE
joiner-triangle,,"Aucune traduction française établie trouvée. Le ""Joiner triangle"" (Joiner Associates) n'apparaît pas avec un rendu normalisé dans la littérature Deming francophone. Rendu à décider (p. ex. ""triangle de Joiner"").","Joiner Triangle|Joiner triangle|triangle de Joiner",TRUE
appreciation-for-a-system,Appréciation d'un système,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf (partie sur l'appréciation du système); rendu confirmé par la littérature AFED francophone","Appreciation for a System|Appreciation of a System|appreciation for a system",FALSE
theory-of-variation,Connaissance de la variation,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — ""La connaissance des variations""; ""connaissance pour l'étude des variations"". Variante établie: ""théorie des variations"" (Techniques de l'Ingénieur, ""Découvrir Deming, la théorie des variations"").","Theory of Variation|Knowledge about Variation|Knowledge of Variation|théorie des variations|connaissance de la variation",FALSE
theory-of-knowledge,Théorie de la connaissance,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La théorie de la connaissance""","Theory of Knowledge|theory of knowledge",FALSE
psychology,Psychologie,"W. E. Deming, ""La connaissance approfondie"" (Versailles 1989), https://www.fr-deming.org/WED_Versailles89.pdf — titre de section ""La connaissance de la psychologie""","Psychology|psychology|psychologie",FALSE
